gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS00005	-0.244883523989051	0.001919393398011504	down	CS1
PFDSM3638_RS00005	-0.0070745738367072875	0.9747048293808462	rest	CS2
PFDSM3638_RS00005	-0.00641649833685598	0.9589828180361931	rest	CS3
PFDSM3638_RS00005	-0.17717247521719948	0.19526961376265498	rest	CSR
PFDSM3638_RS00005	-0.4446700424227137	1.3350466646546515e-7	down	HS1
PFDSM3638_RS00005	-0.6767696858519141	2.336601524580667e-11	down	HS2
PFDSM3638_RS00005	-0.21597951268894278	0.01595651139789488	down	HSR
PFDSM3638_RS00010	0.14959524379884215	0.11756775209267525	rest	CS1
PFDSM3638_RS00010	-0.04379265081842121	0.9316912734511094	rest	CS2
PFDSM3638_RS00010	0.545935489294159	1.4796866537322082e-7	up	CS3
PFDSM3638_RS00010	-0.09366948161762778	0.6480314760459117	rest	CSR
PFDSM3638_RS00010	-0.09350017091919582	0.3384016774572308	rest	HS1
PFDSM3638_RS00010	-0.39770408977040095	7.743836031957131e-5	down	HS2
PFDSM3638_RS00010	-0.07829687062702106	0.5326536253289661	rest	HSR
PFDSM3638_RS00015	0.11652816513594644	0.3062153624912012	rest	CS1
PFDSM3638_RS00015	0.05700652469952239	0.9316912734511094	rest	CS2
PFDSM3638_RS00015	0.15773240061894178	0.15838607298454296	rest	CS3
PFDSM3638_RS00015	0.09828038038909348	0.6981443824018154	rest	CSR
PFDSM3638_RS00015	-0.4648141085194366	1.4185231333737755e-5	down	HS1
PFDSM3638_RS00015	-0.7117322007028131	1.2029735674825824e-8	down	HS2
PFDSM3638_RS00015	-0.14449065184122833	0.25712443237289206	rest	HSR
PFDSM3638_RS00020	-0.22847452106413435	0.01150257829042543	down	CS1
PFDSM3638_RS00020	0.06374833820116699	0.9038998493354504	rest	CS2
PFDSM3638_RS00020	-0.46217813451401923	2.84284191272715e-6	down	CS3
PFDSM3638_RS00020	-0.2678441120354673	0.04708679266579259	down	CSR
PFDSM3638_RS00020	-0.1133884647804475	0.22326156549846637	rest	HS1
PFDSM3638_RS00020	-0.12657931725687277	0.20395766998856024	rest	HS2
PFDSM3638_RS00020	0.06918261522159597	0.5859590779291148	rest	HSR
PFDSM3638_RS00025	0.020644297980735082	0.9423487542530259	rest	CS1
PFDSM3638_RS00025	0.24738325168127862	0.7872956047342674	rest	CS2
PFDSM3638_RS00025	-0.2194618479434558	0.35970667684891533	rest	CS3
PFDSM3638_RS00025	0.29186911730406706	0.5081419252219878	rest	CSR
PFDSM3638_RS00025	-0.4364241264204942	0.041070020294565086	down	HS1
PFDSM3638_RS00025	0.10326409450654861	0.7167289888687131	rest	HS2
PFDSM3638_RS00025	0.07235881254073107	0.8092427943508597	rest	HSR
PFDSM3638_RS00030	-0.4203431233092729	3.274999991575216e-9	down	CS1
PFDSM3638_RS00030	-0.011115445305419414	0.9488358787436184	rest	CS2
PFDSM3638_RS00030	0.007099980169455122	0.9346341427340954	rest	CS3
PFDSM3638_RS00030	-0.17540927427439534	0.06549885520160802	rest	CSR
PFDSM3638_RS00030	-0.21440573743821467	5.16189311073131e-4	down	HS1
PFDSM3638_RS00030	-0.2741655303349759	5.593915366371503e-5	down	HS2
PFDSM3638_RS00030	-0.3107942235076635	2.0863870747391572e-5	down	HSR
PFDSM3638_RS00035	-0.5314274458548454	2.191373278080485e-7	down	CS1
PFDSM3638_RS00035	0.035294621635390655	0.9316912734511094	rest	CS2
PFDSM3638_RS00035	-0.48078036198508833	2.719286111282764e-6	down	CS3
