gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS00005	0.948424654760858	3.895012644237339e-8	up	CS1
PFDSM3638_RS00010	0.15440647330778906	0.5874104617100513	not significant	CS1
PFDSM3638_RS00015	-0.21185733720873232	0.3017717251418559	not significant	CS1
PFDSM3638_RS00020	-0.1482876593299191	0.2747961179239276	not significant	CS1
PFDSM3638_RS00025	-1.138879528518743	1.0376051382563856e-17	down	CS1
PFDSM3638_RS00030	-0.8471222758104341	0.00151775974346928	down	CS1
PFDSM3638_RS00035	-0.8982492974611055	3.5258059391814065e-7	down	CS1
PFDSM3638_RS00040	0.09064152465242872	0.6393598747266241	not significant	CS1
PFDSM3638_RS00045	0.3082281622162208	0.020503801304141173	up	CS1
PFDSM3638_RS00050	-0.915719824764552	2.76013737856158e-5	down	CS1
PFDSM3638_RS00055	0.2609730010943	0.0042722783075686	up	CS1
PFDSM3638_RS00060	-1.0068208019702733	1.2963201003721028e-7	down	CS1
PFDSM3638_RS00065	-0.78000544464998	3.1244998400228667e-6	down	CS1
PFDSM3638_RS00070	-0.6685160236281366	5.059972488319588e-4	down	CS1
PFDSM3638_RS00075	-0.6093854845335861	0.0013712591659878497	down	CS1
PFDSM3638_RS10535	-0.8730541178802328	1	not significant	CS1
PFDSM3638_RS00085	-1.3955575632869832	5.843247805208287e-14	down	CS1
PFDSM3638_RS10540	-1.6435166337187452	6.268854633743299e-6	down	CS1
PFDSM3638_RS00095	-0.4414762270903643	0.019067484739824954	down	CS1
PFDSM3638_RS00100	1.0213619149351143	1.1594476835247553e-5	up	CS1
PFDSM3638_RS00105	-0.0019767857992123404	0.9937826429135879	not significant	CS1
PFDSM3638_RS00110	-0.2760508531350445	0.20558865207155322	not significant	CS1
PFDSM3638_RS00115	0.04990829211981737	0.7378125571079691	not significant	CS1
PFDSM3638_RS00120	-0.3624022932408829	0.11073758916947629	not significant	CS1
PFDSM3638_RS00125	-0.7914394646141863	1.642322191477301e-7	down	CS1
PFDSM3638_RS00130	-0.627334056565081	6.598771563235972e-8	down	CS1
PFDSM3638_RS00135	-0.20756141963999533	0.09527661832756855	not significant	CS1
PFDSM3638_RS00140	-0.3396582930769464	0.09417833935445986	not significant	CS1
PFDSM3638_RS00145	-0.22915482338180593	0.11819442503099228	not significant	CS1
PFDSM3638_RS00150	-0.6029669948408214	0.0034432149325136613	down	CS1
PFDSM3638_RS00155	-0.5190008726871181	6.337281376421428e-4	down	CS1
PFDSM3638_RS00160	-0.5935392300967915	0.0050327227901713215	down	CS1
PFDSM3638_RS00165	-0.6771313733582613	1.4469991400269743e-6	down	CS1
PFDSM3638_RS00170	-0.7411186010344171	1.2352713414799017e-5	down	CS1
PFDSM3638_RS00175	-0.5496608944480842	0.008975408563720427	down	CS1
PFDSM3638_RS00180	-0.4150379500065519	0.025192726944934324	down	CS1
PFDSM3638_RS00185	-0.3456702603485364	0.050829344196109225	not significant	CS1
PFDSM3638_RS00190	-0.2520262165210327	0.1639851972980742	not significant	CS1
PFDSM3638_RS00195	-0.4993878399387401	0.08812134178791028	not significant	CS1
PFDSM3638_RS00200	-0.8316337644116197	4.090624466742551e-6	down	CS1
PFDSM3638_RS00205	0.04355237580131331	0.798827079727127	not significant	CS1
PFDSM3638_RS00210	-0.04145924802740801	0.7378125571079691	not significant	CS1
PFDSM3638_RS00215	-0.6323967278430648	8.570981303060383e-9	down	CS1
PFDSM3638_RS00220	0.12475817025724885	0.6441915735030305	not significant	CS1
PFDSM3638_RS00225	0.37265035380499695	0.15159794444213037	not significant	CS1
PFDSM3638_RS00230	3.487976725174364	1.2336839247058114e-6	up	CS1
PFDSM3638_RS00235	3.6979215352070973	6.605363870100554e-7	up	CS1
PFDSM3638_RS00240	4.0337748841350916	6.681041993691352e-7	up	CS1
PFDSM3638_RS00245	4.710254355937702	1.1820400424653404e-7	up	CS1
PFDSM3638_RS00250	-0.9481550072199317	9.320612610947563e-8	down	CS1
PFDSM3638_RS00255	-0.39462891953159135	3.321998307617435e-4	down	CS1
PFDSM3638_RS00260	-0.2018898838767471	0.18235892663700728	not significant	CS1
PFDSM3638_RS00265	-0.19486396203288267	0.5150295135253857	not significant	CS1
PFDSM3638_RS00270	-0.11827175955521962	0.5008686653818053	not significant	CS1
PFDSM3638_RS00275	-1.164758953053431	8.03595267285035e-12	down	CS1
