gene	CS-PFU-001	CS-PFU-002	CS-PFU-003	CS-PFU-004	CS-PFU-010	CS-PFU-011	CS-PFU-012	CS-PFU-013	CS-PFU-014	CS-PFU-016	CS-PFU-017	CS-PFU-018	CS-PFU-019	CS-PFU-020	CS-PFU-021	CS-PFU-024	CS-PFU-027	CS-PFU-028	CS-PFU-029	CS-PFU-030	HS-PFU-001	HS-PFU-002	HS-PFU-003	HS-PFU-004	HS-PFU-005	HS-PFU-006	HS-PFU-007	HS-PFU-009	HS-PFU-010	HS-PFU-011	HS-PFU-012	HS-PFU-018
PFDSM3638_RS00005	2995.592735091593	2794.41467310804	2815.564558452808	2147.416840923555	1322.752532409213	1321.69170863155	1319.3847620787287	2302.81574457882	2842.051576895681	3542.521672776561	2533.7885185711466	1509.6102263720036	1365.2983107232637	1396.1786125622627	1053.8606487635652	1693.6849257848826	1414.6920023981454	2314.096151489165	1727.2163868868454	1492.9637578698816	2698.4522284915874	4633.53836744134	5009.427247518179	4694.128227875388	1327.092598949726	881.021631209011	915.0494048937899	760.2080408882148	740.5638616556917	598.4935632601783	660.1773597464057	3828.797514283788
PFDSM3638_RS00010	4885.217688240087	4757.233069499819	4843.327544960513	4130.517170537575	3624.668544364801	4021.800091930339	3778.0952215663237	4525.80796878933	4885.464629276104	6033.965486597439	4517.825981652587	5030.14741203012	4369.929807393532	4705.601255195237	1538.6365471948052	6999.931291189422	3413.7981492352487	6585.954937855019	4204.009599107779	3394.214552809813	11167.223974305916	11007.522763919444	10175.797584835243	11895.543444116807	3660.8385124754473	2030.598536717402	3132.2122339998928	1896.7379726638792	1740.8777344891257	1483.3575406104248	1656.5373442252119	4156.636421634089
PFDSM3638_RS00015	14022.76864419609	13421.264181177974	12632.650372205804	13846.926326068608	15251.826607023562	14489.177038830236	14801.798656812913	15251.861473163712	15126.92180670528	19011.8573839808	12829.873991578148	18900.449406237592	18447.13060402947	15611.90810891389	10333.103661126757	25395.099568036043	14370.343795394678	20366.94652219336	15554.516547836938	13473.472223311643	21318.477161801162	15918.494615347146	13868.86466666527	19042.976760013196	20218.585457446017	9425.087641605407	14071.468158623393	9134.788411717715	6743.368197986714	6555.6162419755165	7699.699329596157	3017.722052368212
PFDSM3638_RS00020	3739.5253492312777	3721.1017862125686	3305.114541902138	3588.881262887626	3200.081311739622	3236.564490664875	3155.358194411167	3472.3231360215095	4117.512708165864	4454.429037444594	2922.608175338439	4105.945757641689	4278.259777959256	3340.0182294677943	4067.902104227362	4399.375421962654	5906.583022426464	5406.118090699173	5755.793111980263	6579.904824884279	4251.295234130088	4310.198623514784	3822.5451309141067	4435.7042368619395	5061.08606059088	2629.4367155282584	3262.799366731142	2665.455805054574	2183.0054130895387	2401.185018863125	2220.227243700989	2479.3443971782685
PFDSM3638_RS00025	1048.1866080293369	1351.0075434031166	1108.6611525717512	1030.2384439248635	2471.0976938785443	2234.9636618061404	2157.5636395375636	1072.976622625198	1307.7214066446907	1342.0707106480434	1018.4490707469561	2631.9128477990744	2557.9839064479434	2278.351366299558	2531.9002086544656	2993.9628603982665	4023.5791847516907	3728.03583223344	4036.550946639525	4279.128517274942	3572.1025583426494	2766.3511424827466	2566.019518211779	2725.511691888499	2558.3625180063427	1573.653741640845	2299.836697310059	1656.5727458161098	1379.8067969654553	1704.831062298787	1424.9674395757036	1716.3920776260395
PFDSM3638_RS00030	9414.720024573578	8462.187355193626	9258.842315752163	9470.3690883321	13055.077586533595	12356.318315888335	11040.215401875703	10381.69855022737	13713.764378104881	16271.269188777836	9346.942625067508	14300.464094062803	15251.357343857944	11560.032559089297	29824.256360008898	13659.362048640754	22308.229403333513	12869.440727887819	19131.75233342068	25750.1202134952	4907.942094953629	4082.663248159061	3324.250820802645	4179.577347990834	9272.13221890418	10284.464519363424	7886.899131502429	16769.016921831455	19544.806692129503	21035.86412278159	15237.909120423577	2273.818476668141
PFDSM3638_RS00035	460.4437296252901	698.8279391175485	621.7197835990605	518.1621203200157	463.7799002521191	511.3350509788523	493.78643062302837	555.980101169977	945.7768536624055	1022.8544720022433	535.6548745797139	1144.9427319457723	1213.1650703855287	945.4036331959222	1043.3220422759296	335.0742304115867	1197.122128925879	749.9577500797474	1472.0412974114113	1591.092831157104	379.0515140805415	407.168566426032	412.9565050333177	360.64503634765646	378.1389625889359	580.4000555007498	437.79571117095077	682.6743849767302	1022.4202567634549	984.7845894608099	728.2264106741122	551.4110062466833
PFDSM3638_RS00040	1935.6693261110233	1668.575053605443	1664.2960360959464	1651.8591084027346	1255.4717863162998	1215.5349864790467	1201.442143299343	1736.6256582454544	2273.9559959104427	2360.0590814514176	1664.524029121611	1571.0619549227654	1526.2084687727913	1255.438913122093	2018.1431423822276	1402.0211219853234	2877.19083798078	2884.8512900167075	2706.4507927488244	3190.9471867148527	2160.1708962285134	3756.3296177146676	3564.5699270571886	3244.656776057737	2590.3034113040458	2022.5819613651818	1819.7645762620853	1674.5378612102343	2270.5098494792037	2368.2215179606715	1419.8891521930389	4900.53999733416
PFDSM3638_RS00045	789.9769871022133	1017.2925326820281	916.4932194593143	859.8361359001603	536.2863353619574	552.6632405191399	474.91561161832664	865.0641974798308	948.1373616166378	1087.0870078273128	750.621633457099	745.5064963658207	703.1286300224808	704.7183500953422	653.3936022334104	472.08838940579824	1867.3934431655518	1505.094766389327	1693.7246563931947	2330.5654905715287	865.1956492396004	781.4043811558407	662.1036600890485	805.1343008907871	742.8833570207705	839.3354393774655	817.3439242891142	756.425911331557	1378.8856976350378	1494.6887440456435	693.6940564719926	497.272471087918
PFDSM3638_RS00050	1562.8001881987786	1380.611294354181	1532.995774105096	1670.9858980789768	3776.8667369827504	3681.450295716206	3381.021738342392	1586.2604222028228	1492.6278630595536	1509.4645918891335	1603.4405785116435	2368.317275331333	2788.134193112722	2466.0042988864507	4394.598905344067	3499.2873576788984	1772.7554264534	1855.2131635260048	1720.8370096499596	1496.4683676301395	2787.226374911937	2716.4530338521054	2219.7638263429876	2454.453639092171	2459.4487839231333	2323.203537073443	2113.820493851157	3121.202416631837	2828.696043712225	3132.562695136321	2961.6572015700294	2107.392609328233
