protein_id	arcog	category	COG.x	V4	V2	V3	Strand	Length	Gene	Synonym	Code	COG.y	Product	new	start	end	name	refseq_id	uniparc_id
18977848	arCOG00001	1	K	Transcriptional regulator, PadR family	NP_579205.1	AAL81600	-	159	-	PF1476	-	-	hypothetical protein	PFDSM3638_07400	1363452	1363778	PadR family transcriptional regulator		
18976956	arCOG00002	0	K	Transcriptional regulator, PadR family	NP_578313.1	AFN03377	-	161	-	PF0584	-	-	hypothetical protein	PFDSM3638_02930	585442	585927	PadR family transcriptional regulator		
18977830	arCOG00014	0	G	Sugar kinase, ribokinase family	NP_579187.1	AFN04241	-	311	-	PF1458	-	-	sugar kinase	PFDSM3638_07300	1346571	1347506	carbohydrate kinase	A0A5C0XQD2	UPI0000066FCF
18978110	arCOG00014	0	G	Sugar kinase, ribokinase family	NP_579467.1	AFN04903	-	312	-	PF1738	-	-	sugar kinase						
18978258	arCOG00014	0	G	Sugar kinase, ribokinase family	NP_579615.1	AFN04754	+	294	-	PF1886	-	-	sugar kinase	PFDSM3638_09485	1705642	1706526	carbohydrate kinase family protein	A0A5C0XUC6	UPI00000670F8
18977961	arCOG00016	0	G	Sugar kinase, ribokinase family	NP_579318.1	AAL81713	+	251	-	PF1589	-	-	hypothetical protein	PFDSM3638_08020	1467038	1467793	hypothetical protein	A0A5C0XR45	UPI00026B53A7
18977063	arCOG00017	0	R	Predicted transcriptional regulator	NP_578420.1	AFN03484	-	128	-	PF0691	-	-	hypothetical protein	PFDSM3638_03445	682437	682823	transcriptional regulator	A0A5C0XN90	UPI0000066D3F
18976572	arCOG00018	0	G	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	NP_577929.1	AFN02988	-	480	-	PF0200	-	-	hypothetical protein	PFDSM3638_00945	196389	197831	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	A0A5C0XLU0	UPI0000066BA7
18977707	arCOG00019	0	H	Hydroxyethylthiazole kinase, sugar kinase family	NP_579064.1	AFN04115	-	265	-	PF1335	-	-	hydroxyethylthiazole kinase	PFDSM3638_06655	1239140	1239937	hydroxyethylthiazole kinase	A0A5C0XVY9	UPI0000136E63
18977705	arCOG00020	0	H	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	NP_579062.1	AFN04113	-	451	-	PF1333	-	-	phosphomethylpyrimidine kinase (hmp-phosphate kinase)	PFDSM3638_06645	1237168	1238523	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	A0A5C0XRT4	UPI0000066F69
18976973	arCOG00021	0	H	Thiamine-phosphate synthase and thiamin biosynthesis regulator ThiR	NP_578330.1	AFN03394	+	295	-	PF0601	-	-	hypothetical phosphomethylpyrimidine kinase	PFDSM3638_03015	603842	604729	phosphomethylpyrimidine kinase	A0A5C0XN38	UPI0000066CEC
18977414	arCOG00022	0	S	Uncharacterized protein	NP_578771.1	AFN03838	+	200	-	PF1042	-	-	hypothetical protein	PFDSM3638_05235	977780	978382	rubrerythrin family protein	A0A5C0XP21	UPI0000066E74
18978376	arCOG00024	0	C	Glycerol kinase	NP_579733.1	AFN04638	+	490	-	PF2004	-	-	glycerol kinase	PFDSM3638_10110	1819921	1821393	glycerol kinase	A0A5C0XTG2	UPI000012B793
18977531	arCOG00027	0	E	L-tyrosine decarboxylase, PLP-dependent protein	NP_578888.1	AAL81283	-	371	-	PF1159	-	-	group II decarboxylase	PFDSM3638_05810	1091259	1092407	tyrosine decarboxylase MfnA	A0A5C0XPB8	UPI00026B5437
18977406	arCOG00029	0	F	Orotate phosphoribosyltransferase	NP_578763.1	AFN03830	-	182	-	PF1034	-	-	orotate phosphoribosyl transferase	PFDSM3638_05195	972337	972885	orotate phosphoribosyltransferase	A0A5C0XNF3	UPI0000132CCF
18978107	arCOG00031	0	F	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	NP_579464.1	AFN04907	-	237	-	PF1735	-	-	hypothetical protein	PFDSM3638_08790	1594208	1594921	adenine phosphoribosyltransferase	A0A5C0XRH5	UPI0000067095
18976623	arCOG00032	0	R	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	NP_577980.1	AFN03037	+	398	-	PF0251	-	-	hypothetical protein	PFDSM3638_01190	242800	243996	class I SAM-dependent rRNA methyltransferase	A0A5C0XN36	UPI0000066BCD
18976461	arCOG00033	0	J	Wybutosine (yW) biosynthesis enzyme Trm5, tRNA (guanine) methyltransferase	NP_577818.1	AFN04486	+	333	-	PF0089	-	-	met-10+ protein	PFDSM3638_00370	79324	80325	class I SAM-dependent methyltransferase family protein	A0A5C0XML3	UPI0000066B52
18977787	arCOG00033	0	J	Wybutosine (yW) biosynthesis enzyme Trm5, tRNA (guanine) methyltransferase	NP_579144.1	AAL81539	-	333	-	PF1415	-	-	met-10+ protein	PFDSM3638_07090	1313920	1314915	class I SAM-dependent methyltransferase family protein	A0A5C0XSE3	UPI00026B54E3
18977900	arCOG00034	0	H	Predicted glutamine amidotransferase involved in pyridoxine biosynthesis	NP_579257.1	AFN04310	-	197	-	PF1528	-	-	imidazoleglycerol-phosphate synthase,	PFDSM3638_07695	1408639	1409232	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	A0A5C0XQY1	UPI0000068778
18977200	arCOG00035	0	R	Diphthamide synthase (EF-2-diphthine--ammonia ligase)	NP_578557.1	AFN03616	-	229	-	PF0828	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_04125	790067	790756	TIGR00289 family protein	A0A5C0XP82	UPI0000066DC0
18976667	arCOG00036	0	R	Diphthamide synthase (EF-2-diphthine--ammonia ligase)	NP_578024.1	AFN03082	-	231	-	PF0295	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_01410	293376	294071	ATP pyrophosphatase	A0A5C0XMT4	UPI0000066BED
18978317	arCOG00037	0	J	Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain	NP_579674.1	AAL82069	-	204	-	PF1945	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_09795	1765440	1766036	hypothetical protein	A0A5C0XXP5	UPI00026B5476
18977660	arCOG00038	0	J	tRNA S(4)U 4-thiouridine synthase	NP_579017.1	AFN04072	-	363	-	PF1288	-	-	putative thiamin biosynthesis protein thiI	PFDSM3638_06425	1198401	1199492	tRNA 4-thiouridine(8) synthase ThiI	A0A5C0XQB7	UPI0000066410
18977859	arCOG00038	0	J	tRNA S(4)U 4-thiouridine synthase	NP_579216.1	AFN04270	-	307	-	PF1487	-	-	putative thiamin biosynthesis protein thiI	PFDSM3638_07470	1372302	1373225	tRNA 4-thiouridine(8) synthase ThiI	A0A5C0XTD3	UPI0000066FE8
18978207	arCOG00038	0	J	tRNA S(4)U 4-thiouridine synthase	NP_579564.1	AFN04806	+	201	-	PF1835	-	-	putative thiamin biosynthesis protein thiI	PFDSM3638_09230	1657878	1658483	hypothetical protein	A0A5C0XRF2	UPI00000670D2
18976420	arCOG00039	0	R	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	NP_577777.1	AAL80172	+	240	-	PF0048	-	-	succinoglycan biosynthesis regulator	PFDSM3638_00165	39613	40335	7-cyano-7-deazaguanine synthase	A0A5C0XLP8	UPI0000066B31
18976411	arCOG00040	2	R	Hypoxanthine phosphoribosyltransferase	NP_577768.1	AFN04534	-	153	-	PF0039	-	-	xanthine-guanine phosphoribosyltransferase	PFDSM3638_00120	29317	29778	phosphoribosyltransferase	A0A5C0XPP4	UPI0000066B29
18978322	arCOG00040	0	R	Hypoxanthine phosphoribosyltransferase	NP_579679.1	AFN04691	-	215	-	PF1950	-	-	xanthine-guanine phosphoribosyltransferase	PFDSM3638_09820	1768275	1768922	phosphoribosyltransferase	A0A5C0XSG7	UPI0000067130
18976645	arCOG00042	0	D	tRNA(Ile)-lysidine synthase TilS/MesJ	NP_578002.1	AAL80397	-	283	-	PF0273	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_01300	267804	268655	alpha hydrolase	A0A5C0XSB4	UPI0000066BDC
18978130	arCOG00042	0	D	tRNA(Ile)-lysidine synthase TilS/MesJ	NP_579487.1	AFN04882	-	319	-	PF1758	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_08840	1600877	1601836	tRNA lysidine(34) synthetase TilS	A0A5C0XX36	UPI0000067099
18977994	arCOG00044	0	D	tRNA(Ile)-lysidine synthase TilS/MesJ	NP_579351.1	AAL81746	+	261	-	PF1622	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_08195	1497498	1498283	ATP pyrophosphatase	A0A5C0XTP5	UPI000006704E
18976586	arCOG00045	0	R	PP-loop ATPase fused to N-terminal RNA binding KH-domain (some lacking KH domain)	NP_577943.1	AFN03002	-	246	-	PF0214	-	-	n-type ATP pyrophosphatase	PFDSM3638_01015	215597	216337	ATPase	A0A5C0XMP2	UPI0000066BB1
18976558	arCOG00046	0	D	tRNA(Ile)-lysidine synthase TilS/MesJ	NP_577915.1	AFN04390	-	275	-	PF0186	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_00875	180729	181556	hypothetical protein		
18976772	arCOG00047	0	L	tRNA G10  N-methylase Trm11	NP_578129.1	AFN03190	-	329	-	PF0400	-	-	hypothetical protein	PFDSM3638_01970	390323	391312	TIGR01177 family methyltransferase		
18977399	arCOG00047	0	L	tRNA G10  N-methylase Trm11	NP_578756.1	AFN03823	-	373	-	PF1027	-	-	hypothetical protein	PFDSM3638_05160	964720	965841	site-specific DNA-methyltransferase		
18977374	arCOG00048	0	L	23S rRNA G2445 N2-methylase RlmL	NP_578731.1	AFN03797	+	365	-	PF1002	-	-	hypothetical protein	PFDSM3638_05035	941225	942322	class I SAM-dependent RNA methyltransferase	A0A5C0XQ67	UPI0000066E53
18976499	arCOG00050	0	E	Spermidine synthase	NP_577856.1	AFN04449	-	281	-	PF0127	-	-	spermidine synthase	PFDSM3638_00560	116139	116984	spermidine synthase	A0A5C0XM55	UPI0000112640
18976592	arCOG00053	0	G	3-hexulose-6-phosphate synthase or related protein	NP_577949.1	AAL80344	+	434	-	PF0220	-	-	hexulose-6-phosphate synthase (d-arabino 3-hexulose 6-phosphate formaldehyde lyase)	PFDSM3638_01045	219388	220608	Fe-S cluster assembly protein HesB	A0A5C0XQ52	UPI00026B5373
18977247	arCOG00054	0	R	Predicted archaeal methyltransferase	NP_578604.1	AAL80999	+	287	-	PF0875	-	-	hypothetical protein	PFDSM3638_04380	830439	831302	SAM-dependent methyltransferase		
18978297	arCOG00056	0	R	tRNA(Ser,Leu) C12 N-acetylase TAN1, contains THUMP domain	NP_579654.1	AFN04715	+	358	-	PF1925	-	-	hypothetical protein	PFDSM3638_09685	1741524	1742600	hypothetical protein	A0A5C0XXN1	UPI000006711B
18976529	arCOG00057	0	M	Glucosamine 6-phosphate synthetase	NP_577886.1	AFN04419	-	598	-	PF0157	-	-	isomerizing glucosamine-fructose-6-phosphate aminotransferase	PFDSM3638_00730	150764	152560	glutamine--fructose-6-phosphate aminotransferase	A0A5C0XN86	UPI0000165AB6
18976734	arCOG00058	0	M	Glucosamine 6-Phosphate Deaminase	NP_578091.1	AFN03164	+	325	-	PF0362	-	-	glucosamine-fructose-6-phosphate aminotransferase	PFDSM3638_01845	366920	367897	SIS domain-containing protein	A0A5C0XN01	UPI0000066C26
18977638	arCOG00060	0	E	Cystathionine beta-lyase/cystathionine gamma-synthase	NP_578995.1	AGX59491	+	366	-	PF1266	-	-	cystathionine gamma-lyase (gamma-cystathionase)	PFDSM3638_06310	1181997	1183097	cystathionine gamma-synthase	A0A5C0XRM4	UPI000006885B
18977389	arCOG00062	0	R	Deaminated glutathione amidase	NP_578746.1	AFN03813	-	262	-	PF1017	-	-	hypothetical protein	PFDSM3638_05115	955821	956609	acyltransferase	A0A5C0XPT0	UPI0000066E62
161484706	arCOG00063	0	F	CTP synthase (UTP-ammonia lyase)	NP_579568.2	AFN04802													
18978085	arCOG00064	0	E	Carbamoylphosphate synthase small subunit	NP_579442.1	AFN04927	+	371	-	PF1713	-	-	carbamoyl-phosphate synthase, small (or glutamine) subunit	PFDSM3638_08680	1574007	1575122	carbamoyl-phosphate synthase small subunit	A0A5C0XX09	UPI0000126F56
18976536	arCOG00065	0	O	Selenocysteine lyase/Cysteine desulfurase	NP_577893.1	AFN04412	+	401	-	PF0164	-	-	nifS protein	PFDSM3638_00765	158310	159515	cysteine desulfurase	A0A5C0XMJ2	UPI0000066B8E
18977438	arCOG00065	0	O	Selenocysteine lyase/Cysteine desulfurase	NP_578795.1	AAL81190	+	414	-	PF1066	-	-	putative aminotransferase	PFDSM3638_05355	1000952	1002112	aminotransferase class V-fold PLP-dependent enzyme	A0A5C0XP06	UPI00026B53FA
18976608	arCOG00067	0	F	Phosphoribosylpyrophosphate synthetase	NP_577965.1	AFN03022	-	279	-	PF0236	-	-	ribose-phosphate pyrophosphokinase	PFDSM3638_01120	231684	232523	ribose-phosphate diphosphokinase	A0A5C0XP73	UPI000012DFC9
18976470	arCOG00069	0	H	NH3-dependent NAD+ synthetase	NP_577827.1	AFN04477	-	257	-	PF0098	-	-	NH(3)-dependent NAD+ synthetase	PFDSM3638_00415	89127	89900	NAD(+) synthetase	A0A5C0XSY0	UPI000012FCD9
18978150	arCOG00070	0	E	Glycine/serine hydroxymethyltransferase	NP_579507.1	AFN04863	-	427	-	PF1778	-	-	serine hydroxymethyltransferase	PFDSM3638_08940	1618542	1619825	serine hydroxymethyltransferase	A0A5C0XX51	UPI000012B878
18977443	arCOG00071	0	E	Asparagine synthase (glutamine-hydrolyzing)	NP_578800.1	AFN03865	+	471	-	PF1071	-	-	asparagine synthetase	PFDSM3638_05370	1003632	1005047	asparagine synthase		
18977809	arCOG00072	0	E	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	NP_579166.1	AFN04218	+	434	-	PF1437	-	-	n-type ATP pyrophosphatase superfamily	PFDSM3638_07195	1328877	1330181	hypothetical protein	A0A5C0XPB7	UPI0000066FBB
