locus_tag	old_locus_tag	pf_name	description
PFDSM3638_RS00005	PFDSM3638_00005	PF0017	cell division control protein Cdc6
PFDSM3638_RS00010	PFDSM3638_00010	PF0018	DNA polymerase II
PFDSM3638_RS00015	PFDSM3638_00015	PF0019	DNA polymerase II large subunit
PFDSM3638_RS00020	PFDSM3638_00020	PF0020	hypothetical protein
PFDSM3638_RS00025	PFDSM3638_00025	PF0021	DNA repair and recombination protein RadB
PFDSM3638_RS00030	PFDSM3638_00030	PF0022	RNA-binding protein
PFDSM3638_RS00035	PFDSM3638_00035	PF0023	hypothetical protein
PFDSM3638_RS00040	PFDSM3638_00040	PF0024	glycerate kinase
PFDSM3638_RS00045	PFDSM3638_00045	PF0025	class II glutamine amidotransferase
PFDSM3638_RS00050	PFDSM3638_00050	PF0026	CCA tRNA nucleotidyltransferase
PFDSM3638_RS00055	PFDSM3638_00055	PF0027	RNA 2',3'-cyclic phosphodiesterase
PFDSM3638_RS00060	PFDSM3638_00060	PF0028	N-acetyltransferase
PFDSM3638_RS00065	PFDSM3638_00065	PF0029	hypothetical protein
PFDSM3638_RS00070	PFDSM3638_00070	PF0030	DUF1611 domain-containing protein
PFDSM3638_RS00075	PFDSM3638_00075	PF0031	PLP-dependent lyase/thiolase
PFDSM3638_RS10535		NA	NA
PFDSM3638_RS00085	PFDSM3638_00085	PF0032	permease
PFDSM3638_RS10540	PFDSM3638_00090	NA	NA
PFDSM3638_RS00095	PFDSM3638_00095	PF0034	hypothetical protein
PFDSM3638_RS00100	PFDSM3638_00100	PF0035	ABC transporter ATP-binding protein
PFDSM3638_RS00105	PFDSM3638_00105	PF0036	daunorubicin resistance protein
PFDSM3638_RS00110	PFDSM3638_00110	PF0037	hypothetical protein
PFDSM3638_RS00115	PFDSM3638_00115	PF0038	MBL fold metallo-hydrolase
PFDSM3638_RS00120	PFDSM3638_00120	PF0039	phosphoribosyltransferase
PFDSM3638_RS00125	PFDSM3638_00125	PF0040	phosphatase PAP2 family protein
PFDSM3638_RS00130	PFDSM3638_00130	PF0041	radical SAM protein
PFDSM3638_RS00135	PFDSM3638_00135	PF0042	metal-dependent hydrolase
PFDSM3638_RS00140	PFDSM3638_00140	PF0043	phosphoenolpyruvate synthase
PFDSM3638_RS00145	PFDSM3638_00145	PF0044	glycosyltransferase
PFDSM3638_RS00150	PFDSM3638_00150	PF0045	hypothetical protein
PFDSM3638_RS00155	PFDSM3638_00155	PF0046	hypothetical protein
PFDSM3638_RS00160	PFDSM3638_00160	PF0047	hypothetical protein
